state,TotalPopulation,YouthPopulation,YouthPercentage,Outlets,OutletDensity,NormalizedYouth
Johor,8056.5,2176.8,27.01917706,40,0.496493515,0.849
Kedah,4326.5,1204.6,27.84236681,10,0.231133711,0.875
Kelantan,3661,1049.8,28.67522535,6,0.163889648,0.901
Melaka,2016.7,547.2,27.13343581,12,0.595031487,0.852
Negeri Sembilan,2415.6,590.2,24.43285312,16,0.662361318,0.768
Pahang,3228.6,829,25.67676392,17,0.526544013,0.807
Perak,5028.7,1285.4,25.56127826,18,0.357945393,0.803
Perlis,579.6,184.5,31.83229814,1,0.172532781,1.000
Pulau Pinang,3481.5,901,25.87964958,23,0.660634784,0.813
Sabah,6830.5,2133.7,31.23783032,15,0.21960325,0.981
Sarawak,4947,1285.3,25.98140287,13,0.262785527,0.816
Selangor,14100.6,3314.3,23.50467356,97,0.687913989,0.738
Terengganu,2373.1,642.2,27.06164932,5,0.210694872,0.850
